Ciudad,Categoría del problema,Categoria numerica,Nivel de urgencia,Fecha del reporte
Manizales,Seguridad,3,3,2023-08-11
Santa Marta,Educación,2,1,2023-04-12
Medellín,Medio Ambiente,4,1,2023-06-09
Bogotá,Medio Ambiente,4,1,2023-06-04
Manizales,Educación,2,4,2024-07-10
Cartagena,Medio Ambiente,4,1,2023-09-18
Medellín,Medio Ambiente,4,1,2023-07-20
Bogotá,Educación,2,3,2023-04-23
Medellín,Educación,2,1,2023-09-01
Cali,Salud,1,1,2024-09-21
Bogotá,Salud,1,3,2024-04-02
Manizales,Medio Ambiente,4,3,2023-03-14
Medellín,Salud,1,4,2023-11-08
Bogotá,Educación,2,2,2023-08-19
Manizales,Salud,1,3,2024-08-16
Manizales,Salud,1,3,2023-09-01
Santa Marta,Educación,2,1,2024-03-15
Barranquilla,Medio Ambiente,4,1,2023-12-21
Medellín,Seguridad,3,4,2024-06-18
Cali,Salud,1,4,2024-07-21
Barranquilla,Seguridad,3,3,2024-04-13
Pereira,Salud,1,3,2024-09-20
Barranquilla,Medio Ambiente,4,1,2024-05-20
Manizales,Educación,2,1,2023-04-22
Cúcuta,Educación,2,3,2024-01-11
Bucaramanga,Medio Ambiente,4,1,2024-04-11
Pereira,Medio Ambiente,4,1,2024-08-03
Cali,Medio Ambiente,4,3,2024-06-29
Cúcuta,Salud,1,4,2023-10-17
Medellín,Seguridad,3,4,2024-11-24
Barranquilla,Salud,1,3,2023-02-06
Santa Marta,Educación,2,3,2024-11-23
Barranquilla,Medio Ambiente,4,4,2024-09-06
Santa Marta,Educación,2,4,2023-03-04
Bogotá,Medio Ambiente,4,1,2023-09-12
Manizales,Medio Ambiente,4,2,2024-09-23
Barranquilla,Seguridad,3,4,2024-05-04
Santa Marta,Medio Ambiente,4,1,2024-10-20
Manizales,Salud,1,2,2023-08-10
Santa Marta,Seguridad,3,3,2024-06-16
Cúcuta,Seguridad,3,2,2024-08-26
Cali,Medio Ambiente,4,2,2024-09-13
Medellín,Medio Ambiente,4,2,2023-03-22
Pereira,Seguridad,3,2,2023-10-31
Bucaramanga,Medio Ambiente,4,2,2023-07-28
Bogotá,Seguridad,3,2,2023-08-27
Manizales,Salud,1,1,2024-07-13
Cúcuta,Medio Ambiente,4,4,2024-04-26
Medellín,Educación,2,1,2024-08-02
Bogotá,Seguridad,3,1,2023-02-22
Cartagena,Seguridad,3,1,2023-02-09
Cartagena,Medio Ambiente,4,3,2024-10-07
Cartagena,Educación,2,1,2023-04-22
Bogotá,Educación,2,4,2024-08-12
Cúcuta,Seguridad,3,3,2024-06-12
Pereira,Educación,2,3,2023-12-03
Bucaramanga,Educación,2,3,2023-10-24
Bogotá,Salud,1,1,2024-11-13
Cúcuta,Seguridad,3,3,2023-04-22
Medellín,Educación,2,1,2023-10-24
Cartagena,Medio Ambiente,4,2,2024-08-28
Pereira,Seguridad,3,4,2023-05-23
Santa Marta,Medio Ambiente,4,1,2023-04-22
Bogotá,Seguridad,3,2,2024-11-15
Manizales,Educación,2,1,2023-06-19
Manizales,Educación,2,2,2024-04-03
Medellín,Educación,2,3,2023-07-26
Cali,Medio Ambiente,4,4,2023-01-03
Manizales,Medio Ambiente,4,4,2023-02-22
Pereira,Educación,2,4,2024-09-23
Cali,Medio Ambiente,4,4,2024-10-07
Cartagena,Educación,2,1,2024-11-25
Cartagena,Medio Ambiente,4,1,2024-04-14
Cúcuta,Medio Ambiente,4,3,2024-05-23
Bogotá,Medio Ambiente,4,1,2023-01-25
Manizales,Educación,2,2,2023-11-05
Cali,Educación,2,4,2023-03-15
Santa Marta,Seguridad,3,4,2024-07-12
Cali,Medio Ambiente,4,4,2023-05-29
Manizales,Medio Ambiente,4,4,2023-10-09
Santa Marta,Medio Ambiente,4,3,2024-09-03
Cali,Salud,1,1,2024-05-05
Bogotá,Educación,2,1,2024-04-21
Cúcuta,Medio Ambiente,4,2,2023-06-04
Cúcuta,Medio Ambiente,4,4,2024-07-27
Cali,Salud,1,1,2023-10-24
Manizales,Educación,2,3,2023-10-30
Bogotá,Salud,1,4,2023-07-12
Medellín,Salud,1,1,2024-02-25
Medellín,Seguridad,3,1,2024-11-09
Cali,Medio Ambiente,4,1,2023-07-24
Cartagena,Seguridad,3,4,2024-07-10
Medellín,Salud,1,4,2023-08-25
Manizales,Medio Ambiente,4,3,2023-01-23
Medellín,Salud,1,2,2024-01-17
Cartagena,Seguridad,3,4,2024-08-17
Cartagena,Salud,1,4,2024-09-25
Barranquilla,Educación,2,2,2024-03-03
Manizales,Medio Ambiente,4,1,2024-05-23
Cúcuta,Seguridad,3,2,2023-02-23
Cúcuta,Medio Ambiente,4,2,2024-03-16
Medellín,Salud,1,3,2023-09-07
Pereira,Medio Ambiente,4,2,2024-03-17
Medellín,Salud,1,1,2024-07-16
Cúcuta,Salud,1,2,2024-08-01
Cúcuta,Salud,1,4,2023-01-12
Pereira,Medio Ambiente,4,4,2023-12-03
Pereira,Medio Ambiente,4,4,2023-04-08
Medellín,Seguridad,3,3,2023-04-05
Bogotá,Medio Ambiente,4,3,2024-04-01
Bogotá,Educación,2,1,2024-02-15
Cali,Salud,1,3,2023-09-09
Cartagena,Educación,2,3,2023-04-01
Bucaramanga,Medio Ambiente,4,2,2023-01-29
Santa Marta,Educación,2,1,2023-09-21
Cali,Salud,1,4,2024-03-10
Cartagena,Salud,1,2,2023-07-18
Cartagena,Medio Ambiente,4,3,2024-07-02
Barranquilla,Seguridad,3,1,2024-06-10
Medellín,Educación,2,2,2024-09-09
Pereira,Medio Ambiente,4,2,2023-06-04
Bucaramanga,Medio Ambiente,4,4,2023-06-20
Pereira,Medio Ambiente,4,3,2024-04-22
Pereira,Educación,2,2,2023-08-09
Santa Marta,Medio Ambiente,4,2,2024-07-15
Bucaramanga,Medio Ambiente,4,4,2024-01-21
Bucaramanga,Salud,1,4,2023-10-06
Pereira,Medio Ambiente,4,4,2023-12-24
Bogotá,Medio Ambiente,4,4,2023-03-09
Bogotá,Educación,2,3,2024-01-08
Cartagena,Medio Ambiente,4,3,2024-04-16
Cúcuta,Educación,2,4,2023-08-03
Medellín,Medio Ambiente,4,1,2024-05-28
Pereira,Educación,2,4,2023-11-05
Bucaramanga,Educación,2,4,2024-03-17
Cúcuta,Medio Ambiente,4,1,2023-09-21
Manizales,Educación,2,3,2024-04-10
Medellín,Salud,1,2,2023-11-27
Pereira,Medio Ambiente,4,3,2024-08-11
Santa Marta,Seguridad,3,2,2024-02-04
Barranquilla,Educación,2,1,2024-07-25
Cartagena,Medio Ambiente,4,1,2024-06-20
Cúcuta,Salud,1,1,2023-02-15
Cúcuta,Educación,2,3,2023-12-02
Santa Marta,Medio Ambiente,4,3,2023-06-12
Manizales,Salud,1,1,2023-06-26
Bogotá,Seguridad,3,1,2024-02-14
Barranquilla,Medio Ambiente,4,3,2023-02-03
Cúcuta,Salud,1,2,2024-06-18
Cali,Educación,2,4,2023-04-11
Cartagena,Salud,1,1,2023-02-08
Bogotá,Educación,2,3,2023-12-08
Santa Marta,Salud,1,2,2024-11-09
Barranquilla,Educación,2,4,2023-04-19
Cali,Medio Ambiente,4,2,2023-07-09
Bucaramanga,Medio Ambiente,4,2,2023-09-14
Pereira,Medio Ambiente,4,4,2024-01-18
