Ciudad,Comentario,Categoría del problema,Categoria numerica,Nivel de urgencia,Fecha del reporte
Manizales,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2023-08-11
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-04-12
Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-06-09
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,1,2023-06-04
Manizales,no hay suficientes escuelas públicas.,Educación,2,4,2024-07-10
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-09-18
Medellín,la contaminación del río está aumentando.,Medio Ambiente,4,1,2023-07-20
Bogotá,no hay suficientes escuelas públicas.,Educación,2,3,2023-04-23
Medellín,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-09-01
Cali,faltan médicos en el centro de salud.,Salud,1,1,2024-09-21
Bogotá,falta agua potable en varias casas.,Salud,1,3,2024-04-02
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-03-14
Medellín,falta agua potable en varias casas.,Salud,1,4,2023-11-08
Bogotá,no hay suficientes escuelas públicas.,Educación,2,2,2023-08-19
Manizales,falta agua potable en varias casas.,Salud,1,3,2024-08-16
Manizales,faltan médicos en el centro de salud.,Salud,1,3,2023-09-01
Santa Marta,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-03-15
Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,4,1,2023-12-21
Medellín,queremos más presencia policial.,Seguridad,3,4,2024-06-18
Cali,faltan médicos en el centro de salud.,Salud,1,4,2024-07-21
Barranquilla,queremos más presencia policial.,Seguridad,3,3,2024-04-13
Pereira,falta agua potable en varias casas.,Salud,1,3,2024-09-20
Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-05-20
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-04-22
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-01-11
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-04-11
Pereira,la contaminación del río está aumentando.,Medio Ambiente,4,1,2024-08-03
Cali,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-06-29
Cúcuta,falta agua potable en varias casas.,Salud,1,4,2023-10-17
Medellín,queremos más presencia policial.,Seguridad,3,4,2024-11-24
Barranquilla,falta agua potable en varias casas.,Salud,1,3,2023-02-06
Santa Marta,no hay suficientes escuelas públicas.,Educación,2,3,2024-11-23
Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2024-09-06
Santa Marta,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-03-04
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-09-12
Manizales,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2024-09-23
Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-05-04
Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-10-20
Manizales,falta agua potable en varias casas.,Salud,1,2,2023-08-10
Santa Marta,queremos más presencia policial.,Seguridad,3,3,2024-06-16
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2024-08-26
Cali,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2024-09-13
Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-03-22
Pereira,queremos más presencia policial.,Seguridad,3,2,2023-10-31
Bucaramanga,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-07-28
Bogotá,queremos más presencia policial.,Seguridad,3,2,2023-08-27
Manizales,faltan médicos en el centro de salud.,Salud,1,1,2024-07-13
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2024-04-26
Medellín,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-08-02
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-02-22
Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-02-09
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-10-07
Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-04-22
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-08-12
Cúcuta,queremos más presencia policial.,Seguridad,3,3,2024-06-12
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-12-03
Bucaramanga,no hay suficientes escuelas públicas.,Educación,2,3,2023-10-24
Bogotá,faltan médicos en el centro de salud.,Salud,1,1,2024-11-13
Cúcuta,queremos más presencia policial.,Seguridad,3,3,2023-04-22
Medellín,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-10-24
Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-08-28
Pereira,queremos más presencia policial.,Seguridad,3,4,2023-05-23
Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-04-22
Bogotá,queremos más presencia policial.,Seguridad,3,2,2024-11-15
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-06-19
Manizales,necesitamos más acceso a internet en la zona.,Educación,2,2,2024-04-03
Medellín,no hay suficientes escuelas públicas.,Educación,2,3,2023-07-26
Cali,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-01-03
Manizales,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2023-02-22
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-09-23
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,4,2024-10-07
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-11-25
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-04-14
Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-05-23
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-01-25
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2023-11-05
Cali,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-03-15
Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-07-12
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-05-29
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-10-09
Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-09-03
Cali,faltan médicos en el centro de salud.,Salud,1,1,2024-05-05
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-04-21
Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-06-04
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2024-07-27
Cali,faltan médicos en el centro de salud.,Salud,1,1,2023-10-24
Manizales,no hay suficientes escuelas públicas.,Educación,2,3,2023-10-30
Bogotá,faltan médicos en el centro de salud.,Salud,1,4,2023-07-12
Medellín,faltan médicos en el centro de salud.,Salud,1,1,2024-02-25
Medellín,queremos más presencia policial.,Seguridad,3,1,2024-11-09
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,1,2023-07-24
Cartagena,queremos más presencia policial.,Seguridad,3,4,2024-07-10
Medellín,falta agua potable en varias casas.,Salud,1,4,2023-08-25
Manizales,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-01-23
Medellín,faltan médicos en el centro de salud.,Salud,1,2,2024-01-17
Cartagena,queremos más presencia policial.,Seguridad,3,4,2024-08-17
Cartagena,faltan médicos en el centro de salud.,Salud,1,4,2024-09-25
Barranquilla,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2024-03-03
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,1,2024-05-23
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-02-23
Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-03-16
Medellín,faltan médicos en el centro de salud.,Salud,1,3,2023-09-07
Pereira,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-03-17
Medellín,faltan médicos en el centro de salud.,Salud,1,1,2024-07-16
Cúcuta,faltan médicos en el centro de salud.,Salud,1,2,2024-08-01
Cúcuta,faltan médicos en el centro de salud.,Salud,1,4,2023-01-12
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-12-03
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2023-04-08
Medellín,queremos más presencia policial.,Seguridad,3,3,2023-04-05
Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-04-01
Bogotá,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-02-15
Cali,falta agua potable en varias casas.,Salud,1,3,2023-09-09
Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2023-04-01
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-01-29
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-09-21
Cali,faltan médicos en el centro de salud.,Salud,1,4,2024-03-10
Cartagena,faltan médicos en el centro de salud.,Salud,1,2,2023-07-18
Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2024-07-02
Barranquilla,queremos más presencia policial.,Seguridad,3,1,2024-06-10
Medellín,necesitamos más acceso a internet en la zona.,Educación,2,2,2024-09-09
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-06-04
Bucaramanga,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-06-20
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2024-04-22
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-08-09
Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-07-15
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2024-01-21
Bucaramanga,faltan médicos en el centro de salud.,Salud,1,4,2023-10-06
Pereira,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-12-24
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-03-09
Bogotá,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2024-01-08
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-04-16
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-08-03
Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-05-28
Pereira,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-11-05
Bucaramanga,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2024-03-17
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-09-21
Manizales,no hay suficientes escuelas públicas.,Educación,2,3,2024-04-10
Medellín,falta agua potable en varias casas.,Salud,1,2,2023-11-27
Pereira,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-08-11
Santa Marta,queremos más presencia policial.,Seguridad,3,2,2024-02-04
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,1,2024-07-25
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,1,2024-06-20
Cúcuta,falta agua potable en varias casas.,Salud,1,1,2023-02-15
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2023-12-02
Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-06-12
Manizales,falta agua potable en varias casas.,Salud,1,1,2023-06-26
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2024-02-14
Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-02-03
Cúcuta,falta agua potable en varias casas.,Salud,1,2,2024-06-18
Cali,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-04-11
Cartagena,falta agua potable en varias casas.,Salud,1,1,2023-02-08
Bogotá,no hay suficientes escuelas públicas.,Educación,2,3,2023-12-08
Santa Marta,falta agua potable en varias casas.,Salud,1,2,2024-11-09
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,4,2023-04-19
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-07-09
Bucaramanga,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-09-14
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2024-01-18
Bogotá,faltan médicos en el centro de salud.,Salud,1,2,2024-02-05
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-01-24
Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-06-03
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-05-25
Cali,faltan médicos en el centro de salud.,Salud,1,1,2023-12-08
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-05-04
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-05-11
Bogotá,no hay suficientes escuelas públicas.,Educación,2,1,2024-08-02
Barranquilla,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-11-19
Cúcuta,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-04-23
Cúcuta,queremos más presencia policial.,Seguridad,3,2,2023-04-09
Manizales,falta agua potable en varias casas.,Salud,1,4,2024-07-15
Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-06-07
Cali,queremos más presencia policial.,Seguridad,3,3,2023-03-17
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-09-13
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,1,2023-10-03
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,4,2024-09-29
Medellín,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-02-12
Cali,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2024-03-05
Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-11-13
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-05-25
Cartagena,queremos más presencia policial.,Seguridad,3,2,2024-07-10
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-11-26
Barranquilla,faltan médicos en el centro de salud.,Salud,1,2,2024-11-06
Medellín,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-07-27
Cali,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2024-03-08
Cúcuta,faltan médicos en el centro de salud.,Salud,1,2,2024-05-31
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-05-18
Cúcuta,falta agua potable en varias casas.,Salud,1,2,2023-06-14
Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-05-29
Manizales,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-10-30
Cali,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-06-10
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2023-11-24
Barranquilla,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2023-08-03
Medellín,la contaminación del río está aumentando.,Medio Ambiente,4,4,2024-01-19
Santa Marta,faltan médicos en el centro de salud.,Salud,1,1,2023-09-16
Cartagena,faltan médicos en el centro de salud.,Salud,1,3,2024-06-30
Cali,no hay suficientes escuelas públicas.,Educación,2,2,2023-01-11
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,2,2024-08-20
Bucaramanga,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-05-11
Cali,queremos más presencia policial.,Seguridad,3,4,2024-11-30
Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,4,1,2023-06-19
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-11-06
Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-03-12
Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-06-06
Bogotá,falta agua potable en varias casas.,Salud,1,4,2023-12-24
Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-02-18
Medellín,no hay suficientes escuelas públicas.,Educación,2,2,2023-07-25
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-10-10
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-01-24
Cúcuta,falta agua potable en varias casas.,Salud,1,2,2023-01-25
Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-08-13
Cartagena,queremos más presencia policial.,Seguridad,3,4,2024-06-03
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-05-16
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-10-29
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-07-02
Cali,no hay suficientes escuelas públicas.,Educación,2,1,2023-03-29
Pereira,falta agua potable en varias casas.,Salud,1,4,2023-09-25
Pereira,queremos más presencia policial.,Seguridad,3,4,2024-08-03
Bucaramanga,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2024-02-06
Barranquilla,queremos más presencia policial.,Seguridad,3,3,2023-09-26
Cartagena,queremos más presencia policial.,Seguridad,3,2,2024-01-06
Bogotá,faltan médicos en el centro de salud.,Salud,1,1,2024-02-21
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-08-04
Pereira,queremos más presencia policial.,Seguridad,3,2,2024-04-26
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-08-17
Bogotá,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2023-02-15
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-10-23
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,1,2023-11-17
Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-09-13
Barranquilla,falta agua potable en varias casas.,Salud,1,3,2023-04-09
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,2,2024-07-16
Cúcuta,faltan médicos en el centro de salud.,Salud,1,2,2024-06-11
Bogotá,queremos más presencia policial.,Seguridad,3,1,2024-05-17
Bucaramanga,no hay suficientes escuelas públicas.,Educación,2,3,2024-03-04
Cali,falta agua potable en varias casas.,Salud,1,4,2024-02-12
Bogotá,queremos más presencia policial.,Seguridad,3,2,2023-01-30
Cali,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2024-02-28
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2023-04-03
